"regon14","nip","nazwa","woj","pow","gmi","miej","ul","nr","lok","miej_naz","ul_naz"
"21102774800000","5961486992","POWIATOWY URZĄD PRACY W SULĘCINIE","08","07","044","0935759","11139","18B","","Sulęcin","ul. Lipowa"
"21102793200000","5981478145","POWIATOWY URZĄD PRACY W SŁUBICACH","08","05","054","0935736","12734","3","","Słubice","ul. Mickiewicza"
"21102821600000","5961550000","POWIATOWY URZĄD PRACY","08","03","024","0935529","33831","1","","Międzyrzecz","Plac Powstańców Wielkopolskich"
"23088194000000","6131261187","POWIATOWY URZĄD PRACY W LUBANIU","02","10","011","0936150","11469","10","","Lubań","ul. Lwówecka"
"23088196200000","6121088103","POWIATOWY URZĄD PRACY W BOLESŁAWCU","02","01","011","0935989","14618","10","","Bolesławiec","ul. Obrońców Helu"
"23088198500000","6151790977","POWIATOWY URZĄD PRACY W ZGORZELCU","02","25","021","0936546","18099","14","","Zgorzelec","ul. Kazimierza Pułaskiego"
"23088200000000","6111072508","POWIATOWY URZĄD PRACY W JELENIEJ GÓRZE","02","61","011","0935802","16713","15","","Jelenia Góra","ul. Podchorążych"
"23088201600000","6141339287","POWIATOWY URZĄD PRACY W KAMIENNEJ GÓRZE","02","07","011","0936026","19834","6 A","","Kamienna Góra","ul. Henryka Sienkiewicza"
"23088203900000","6161387935","POWIATOWY URZĄD PRACY WE LWÓWKU ŚLĄSKIM","02","12","034","0936227","02337","1","","Lwówek Śląski","ul. Budowlanych"
"25005709300000","6181032282","POWIATOWY URZĄD PRACY W KALISZU","30","61","011","0936569","21071","47A","","Kalisz","ul. Stanisława Staszica"
"25005725900000","6171019914","POWIATOWY URZĄD PRACY W JAROCINIE","30","06","024","0936776","25316","2","","Jarocin","ul. Zaciszna"
"25005726500000","6211314715","POWIATOWY URZĄD PRACY W KROTOSZYNIE","30","12","044","0936931","18495","7B","","Krotoszyn","ul. Rawicka"
"25096542000000","6221797997","POWIATOWY URZĄD PRACY W OSTROWIE WIELKOPOLSKIM","30","17","011","0937132","24687","29A","","Ostrów Wielkopolski","ul. Wolności"
