"regon14","nip","nazwa","woj","pow","gmi","miej","ul","nr","lok","miej_naz","ul_naz"
"51092870100000","7451075498","POWIATOWY URZĄD PRACY W NIDZICY","28","11","044","0964904","22961","23","","Nidzica","ul. Traugutta"
"51092871800000","7421892258","POWIATOWY URZĄD PRACY","28","10","011","0964896","09276","1","","Mrągowo","ul. Kopernika"
"51092887100000","7391423121","URZĄD PRACY POWIATU OLSZTYŃSKIEGO","28","62","011","0964465","38558","64B","","Olsztyn","Aleja Marszałka Józefa Piłsudskiego"
"51092961700000","8771331816","POWIATOWY URZĄD PRACY W NOWYM MIEŚCIE LUBAWSKIM","28","12","011","0983563","06260","3","","Nowe Miasto Lubawskie","ul. Grunwaldzka"
"51093013500000","7411821179","POWIATOWY URZĄD PRACY W OSTRÓDZIE","28","15","011","0964927","20431","5","","Ostróda","ul. Jana III Sobieskiego"
"51093016400000","7431693968","POWIATOWY URZĄD PRACY","28","01","011","0964583","06188","1","","Bartoszyce","ul. Grota-Roweckiego"
"51093106300000","8491433349","POWIATOWY URZĄD PRACY W PISZU","28","16","034","0977835","25354","2","","Pisz","ul. Jana Onufrego Zagłoby"
"51093154800000","7451630072","POWIATOWY URZĄD PRACY W SZCZYTNIE","28","17","011","0964991","16961","4","","Szczytno","ul. Wincentego Pola"
"51093175500000","7421015669","POWIATOWY URZĄD PRACY W KĘTRZYNIE","28","08","011","0964710","16579","11","","Kętrzyn","ul. Pocztowa"
"51093402100000","8471407395","POWIATOWY URZĄD PRACY W OLECKU","28","13","044","0977798","00432","30","","Olecko","ul. Armii Krajowej"
"51093639100000","5711034711","POWIATOWY URZĄD PRACY W DZIAŁDOWIE","28","03","011","0930609","02844","6","","Działdowo","ul. Chopina"
"51094186000000","8451711664","POWIATOWY URZĄD PRACY W GIŻYCKU","28","06","011","0977692","05431","11","","Giżycko","ul. Gdańska"
"51095687300000","7393127639","MIEJSKI URZĄD PRACY W OLSZTYNIE","28","62","011","0964465","38558","64 B","","Olsztyn","Aleja Marszałka Józefa Piłsudskiego"
"51132639300000","7393187854","WOJEWÓDZKI URZĄD PRACY W OLSZTYNIE","28","62","011","0964465","05627","28","","Olsztyn","ul. Bartosza Głowackiego"
"51132639300028","7393187854","WOJEWÓDZKI URZĄD PRACY W OLSZTYNIE STANOWISKO ZAMIEJSCOWE W EŁKU","28","05","011","0977670","","10","","Ełk",""
"51132639300035","7393187854","WOJEWÓDZKI URZĄD PRACY W OLSZTYNIE STANOWISKO ZAMIEJSCOWE W ELBLĄGU","28","61","011","0932703","37883","54","","Elbląg","ul. Generała Józefa Bema"
"51143398200000","8471462141","POWIATOWY URZĄD PRACY W GOŁDAPI","28","18","034","0977700","26464","18","","Gołdap","ul. Żeromskiego"
"51143399900000","8451799363","POWIATOWY URZĄD PRACY W WĘGORZEWIE","28","19","034","0977947","37883","16A","","Węgorzewo","ul. Generała Józefa Bema"
"53159592400000","7531865624","POWIATOWY URZĄD PRACY","16","07","054","0965789","20294","19","","Nysa","ul. Słowiańska"
"53159594700000","7561285653","POWIATOWY URZĄD PRACY","16","11","054","0965915","05708","2A","","Strzelce Opolskie","ul. Gogolińska"
"53159595300000","7511036586","POWIATOWY URZĄD PRACY","16","04","024","0965619","19830","22B","","Kluczbork","ul. Sienkiewicza"
"53159670500000","7471224978","POWIATOWY URZĄD PRACY","16","01","011","0965252","00432","32","","Brzeg","ul. Armii Krajowej"
"53159686900000","7521010335","POWIATOWY URZĄD PRACY","16","06","024","0965743","16414","1","","Namysłów","Plac Wolności"
"53159813000000","7551695409","POWIATOWY URZĄD PRACY","16","10","044","0965878","07029","21","","Prudnik","ul. Jagiellońska"
"53159856100000","7541872985","POWIATOWY URZĄD PRACY","16","61","011","0965016","39971","21","","Opole","ul. Majora """"Hubala"""""
"53159877900000","5761158912","POWIATOWY URZĄD PRACY W OLEŚNIE","16","08","034","0932293","04434","4","","Olesno","ul. Dworcowa"
"53159994500000","7551696403","POWIATOWY URZĄD PRACY W KRAPKOWICACH","16","05","024","0965677","08431","1A","","Krapkowice","ul. Kilińskiego"
"53160077200000","7481034185","POWIATOWY URZĄD PRACY","16","02","034","0965329","16579","6","","Głubczyce","ul. Pocztowa"
"53160139800000","7491398368","POWIATOWY URZĄD PRACY","16","03","011","0965424","00336","11","","Kędzierzyn-Koźle","ul. Anny"
"53165550800000","7542663278","WOJEWÓDZKI URZĄD PRACY W OPOLU","16","61","011","0965016","05614","25C","","Opole","ul. Głogowska"
"55034773000000","7591012523","POWIATOWY URZĄD PRACY","14","16","011","0966330","29830","55","","Ostrów Mazowiecka","ul. 3-go Maja"
"55034778100000","7571008553","POWIATOWY URZĄD PRACY","14","11","011","0966300","17618","77B","","Maków Mazowiecki","ul. Przasnyska"
"55034782900000","7611079141","POWIATOWY URZĄD PRACY W PRZASNYSZU","14","22","011","0966398","07617","6","","Przasnysz","ul. Berka Joselewicza"
"55034787000000","7581149545","POWIATOWY URZĄD PRACY","14","61","011","0966079","11205","68","","Ostrołęka","ul. 11 Listopada"
"55034790100000","7621219649","POWIATOWY URZĄD PRACY","14","35","054","0966470","09582","15","","Wyszków","ul. Tadeusza Kościuszki"
"57086627000000","7642214195","POWIATOWY URZĄD PRACY","30","19","011","0966530","52732","24","","Piła","aleja Niepodległości"
"57086627000027","7642214195","POWIATOWY URZĄD PRACY W PILE FILIA W WYRZYSKU","30","19","084","0967392","02498","11","","Wyrzysk","ul. Bydgoska"
"57086723000000","7661013842","POWIATOWY URZĄD PRACY","30","28","011","0967297","08828","22","","Wągrowiec","ul. Kolejowa"
"57086764800000","7631865026","POWIATOWY URZĄD PRACY W CZARNKOWIE","30","02","011","0966777","54183","1","","Czarnków","ul. Podpułkownika Zdzisława Orłowskiego"
"57086785500000","7671088103","POWIATOWY URZĄD PRACY","30","31","011","0967423","08828","11","","Złotów","ul. Kolejowa"
"57086866500000","7642219577","POWIATOWY URZĄD PRACY W CHODZIEŻY","30","01","011","0966760","20060","3","","Chodzież","ul. Składowa"
"59074536100000","7712314810","POWIATOWY URZĄD PRACY W PIOTRKOWIE TRYB.","10","62","011","0967430","03868","27","","Piotrków Trybunalski","ul. Romana Dmowskiego"
"59074583000000","7721965464","POWIATOWY URZĄD PRACY W PAJĘCZNIE","10","09","044","0932330","11926","65","","Pajęczno","ul. 1 Maja"
"59074595800000","7691884872","POWIATOWY URZĄD PRACY W BEŁCHATOWIE","10","01","011","0967647","00905","3","","Bełchatów","ul. Bawełniana"
"59074628300000","7731027980","POWIATOWY URZĄD PRACY","10","16","011","0968300","00351","41","","Tomaszów Mazowiecki","ul. św. Antoniego"
"59074741400000","7681018788","POWIATOWY URZĄD PRACY","10","07","044","0967943","18819","6","","Opoczno","ul. Rolna"
"59074813500000","7721902771","POWIATOWY URZĄD PRACY","10","12","011","0968078","23270","2","","Radomsko","ul. Tysiąclecia"
"61105306400000","7761537711","POWIATOWY URZĄD PRACY W SIERPCU","14","27","011","0969310","24459","2","","Sierpc","ul. Wincentego Witosa"
"61105327100000","7741072002","POWIATOWY URZĄD PRACY W PŁOCKU","14","62","011","0968687","09483","1","","Płock","ul. Kostrogaj"
"61105328800000","9710072798","POWIATOWY URZĄD PRACY W GOSTYNINIE","14","04","011","0968977","16511","66/68","","Gostynin","ul. Płocka"
"63207651900000","7871728228","POWIATOWY URZĄD PRACY W SZAMOTUŁACH","30","24","074","0971531","24628","1","","Szamotuły","ul. Wojska Polskiego"
"63207671000000","7871728145","POWIATOWY URZĄD PRACY W OBORNIKACH","30","16","014","0971181","19581","5","","Oborniki","ul. Sądowa"
"63207677800000","7881020324","POWIATOWY URZĄD PRACY W GRODZISKU WIELKOPOLSKIM","30","05","024","0970810","17394","15","","Grodzisk Wielkopolski","ul. Poznańska"
"63969471700000","7831524761","POWIATOWY URZĄD PRACY W POZNANIU","30","64","069","0970448","03283","9","","Poznań","ul. Stefana Czarnieckiego"
"63969523700000","7891326674","POWIATOWY URZĄD PRACY WE WRZEŚNI","30","30","054","0971637","24628","2","","Września","ul. Wojska Polskiego"
"63969526600000","7861540782","POWIATOWY URZĄD PRACY W ŚRODZIE WLKP.","30","25","044","0971614","09501","46","","Środa Wielkopolska","ul. Kosynierów"
"63969695200000","7841568895","POWIATOWY URZĄD PRACY W GNIEŹNIE","30","03","011","0970632","20431","20","","Gniezno","ul. Jana III Sobieskiego"
"63969697500000","7881133040","POWIATOWY URZĄD PRACY W NOWYM TOMYŚLU","30","15","044","0971175","17394","30 budynek E","wejście 3","Nowy Tomyśl","ul. Poznańska"
"63976996400000","7781379161","WOJEWÓDZKI URZĄD PRACY W POZNANIU","30","64","059","0970224","22273","14","","Poznań","ul. Szyperska"
"65002746400000","7951057859","POWIATOWY URZĄD PRACY","18","62","011","0971672","08202","5","","Przemyśl","ul. Katedralna"
"65095990800000","7941251583","POWIATOWY URZĄD PRACY W PRZEWORSKU","18","14","011","0972513","07029","10","","Przeworsk","ul. Jagiellońska"
"65096024800000","7921883682","POWIATOWY URZĄD PRACY W JAROSŁAWIU","18","04","011","0972192","20291","2","","Jarosław","ul. Juliusza Słowackiego"
"65096085700000","7931045758","POWIATOWY URZĄD PRACY W LUBACZOWIE","18","09","011","0972447","09582","141","","Lubaczów","ul. Tadeusza Kościuszki"
"67198369000000","8121734685","POWIATOWY URZĄD PRACY W KOZIENICACH","14","07","054","0973524","25963","1","","Kozienice","ul. Zdziczów"
"67198372100000","9482133743","POWIATOWY URZĄD PRACY W RADOMIU","14","63","011","0972750","33104","3","","Radom","ul. ks. Andrzeja Łukasika"
"67198392200000","7991782354","POWIATOWY URZĄD PRACY W SZYDŁOWCU","14","30","054","0973895","12627","7","","Szydłowiec","ul. Metalowa"
"67198408600000","7971670296","POWIATOWY URZĄD PRACY W GRÓJCU","14","06","054","0973352","10666","4A","","Grójec","ul. Laskowa"
"67198432400000","7981347384","POWIATOWY URZĄD PRACY W BIAŁOBRZEGACH","14","01","014","0973286","20060","5","","Białobrzegi","ul. Składowa"
"67198450200000","8111600842","POWIATOWY URZĄD PRACY W LIPSKU","14","09","034","0973613","19253","29","","Lipsko","ul. Rynek"
"67198456000000","8111601600","POWIATOWY URZĄD PRACY W ZWOLENIU","14","36","054","0974096","11383","7","","Zwoleń","ul. Ludowa"
"67198912600000","7991371496","POWIATOWY URZĄD PRACY W PRZYSUSZE","14","23","064","0973777","21970","7","","Przysucha","ul. Szkolna"
"69069085200000","8161120216","POWIATOWY URZĄD PRACY W LEŻAJSKU","18","08","011","0974400","12740","56","","Leżajsk","ul. Adama Mickiewicza"
"69069182800000","8151383061","POWIATOWY URZĄD PRACY","18","10","011","0974529","16264","9","","Łańcut","ul. Józefa Piłsudskiego"
"69069183400000","8181290281","POWIATOWY URZĄD PRACY W ROPCZYCACH","18","15","034","0974825","13947","2","","Ropczyce","ul. Najświętszej Marii Panny"
"69069262100000","8131463070","POWIATOWY URZĄD PRACY W RZESZOWIE","18","63","011","0974133","15733","1A","","Rzeszów","ul. Partyzantów"
"69069432400000","8721726814","POWIATOWY URZĄD PRACY","18","03","011","0982233","03114","20","","Dębica","ul. Cmentarna"
"69119368200000","8133178741","WOJEWÓDZKI URZĄD PRACY W RZESZOWIE","18","63","011","0974133","14010","11","","Rzeszów","ul. Adama Stanisława Naruszewicza"
"71008853100000","8261405740","POWIATOWY URZĄD PRACY W GARWOLINIE","14","03","011","0975285","12540","26","","Garwolin","ul. Mazowiecka"
"71166215600000","8221491696","POWIATOWY URZĄD PRACY W MIŃSKU MAZOWIECKIM","14","12","011","0975687","17742","4","","Mińsk Mazowiecki","ul. Przemysłowa"
"71166724800000","8231479538","POWIATOWY URZĄD PRACY W SOKOŁOWIE PODLASKIM","14","29","011","0975760","23992","3","","Sokołów Podlaski","ul. Oleksiaka Wichury"
"71166869600000","8211046931","POWIATOWY URZĄD PRACY W SIEDLCACH","14","64","011","0975173","18099","19/21","","Siedlce","ul. Kazimierza Pułaskiego"
"71166999700000","8241017555","POWIATOWY URZĄD PRACY W WĘGROWIE","14","33","011","0975871","54032","23","","Węgrów","ul. Marsz. J. Piłsudskiego"
"73100215400000","8321015825","POWIATOWY URZĄD PRACY W WIELUNIU","10","17","094","0976586","19844","56 A","","Wieluń","ul. Sieradzka"
"73100216000000","8291011193","POWIATOWY URZĄD PRACY W ZDUŃSKIEJ WOLI","10","19","011","0976675","05471","4","","Zduńska Wola","ul. Getta Żydowskiego"
"73100218300000","8281241336","POWIATOWY URZĄD PRACY W PODDĘBICACH","10","11","034","0976400","17011","9","","Poddębice","ul. Polna"
"73100219000000","8271924186","POWIATOWY URZĄD PRACY W SIERADZU","10","14","011","0976050","40846","3","","Sieradz","Plac Wojewódzki"
"73100291200000","6191060334","POWIATOWY URZĄD PRACY W WIERUSZOWIE","10","18","074","0937400","23707","15","","Wieruszów","ul. Ludwika Waryńskiego"
"73158120600000","8311027577","POWIATOWY URZĄD PRACY W ŁASKU","10","03","024","0976296","14575","4","","Łask","ul. Objazdowa"
"75020054000000","8361626127","POWIATOWY URZĄD PRACY","10","63","011","0976942","30816","7","","Skierniewice","Aleja Niepodległości"
"75020068100000","8341553543","POWIATOWY URZĄD PRACY","10","05","011","0977031","20835","28","","Łowicz","ul. Stanisława Stanisławskiego"
"75020190100000","8351004915","POWIATOWY URZĄD PRACY W RAWIE MAZOWIECKIEJ","10","13","011","0977077","11926","1 A","","Rawa Mazowiecka","ul. 1 Maja"
"75073172800000","8331338978","POWIATOWY URZĄD PRACY W BRZEZINACH","10","21","011","0977025","19834","11","","Brzeziny","ul. Henryka Sienkiewicza"
"77128612000000","8392036303","POWIATOWY URZĄD PRACY","22","63","011","0977278","10878","8","","Słupsk","ul. Stanisława Leszczyńskiego"
"77128612000020","8392036303","POWIATOWY URZĄD PRACY W SŁUPSKU FILIA W USTCE","22","12","011","0977427","03446","9","","Ustka","ul. Czerwonych Kosynierów"
"77128616600000","5551822806","POWIATOWY URZĄD PRACY","22","02","011","0928854","11035","5","","Chojnice","ul. Lichnowska"
"77128741500000","8421022256","POWIATOWY URZĄD PRACY W BYTOWIE","22","01","024","0977290","24628","6","","Bytów","ul. Wojska Polskiego"
"77128805300000","8431071368","POWIATOWY URZĄD PRACY CZŁUCHÓW","22","03","011","0977321","07494","1A","","Człuchów","ul. Jerzego z Dąbrowy"
"77128947200000","8411357021","POWIATOWY URZĄD PRACY","22","08","011","0977373","05431","35","","Lębork","ul. Gdańska"
"79002606800000","8481603092","POWIATOWY URZĄD PRACY","28","05","011","0977670","21614","38","","Ełk","ul. Suwalska"
"79074210300000","8441930471","POWIATOWY URZĄD PRACY","20","63","011","0977456","09582","71A","","Suwałki","ul. Tadeusza Kościuszki"
"79074233300000","8461015245","POWIATOWY URZĄD PRACY","20","01","011","0977539","12734","2","","Augustów","ul. Mickiewicza"
"79074285300000","8441930583","POWIATOWY URZĄD PRACY","20","09","011","0977918","11596","26","","Sejny","ul. Łąkowa"
"81014446200000","8512680829","WOJEWÓDZKI URZĄD PRACY","32","62","011","0977976","12740","41","","Szczecin","ul. Adama Mickiewicza"
"81014579200000","8541983165","POWIATOWY URZĄD PRACY W STARGARDZIE","32","14","011","0979596","16155","35","","Stargard","ul. Pierwszej Brygady"
"81014587500000","8561217304","POWIATOWY URZĄD PRACY W GOLENIOWIE","32","04","024","0978929","25449","3","","Goleniów","ul. Zakładowa"
"81014587500026","8561217304","POWIATOWY URZĄD PRACY W GOLENIOWIE FILIA W NOWOGARDZIE","32","04","044","0979389","16415","9","","Nowogard","ul. Plac Wolności"
"81014599300000","8511164617","POWIATOWY URZĄD PRACY W SZCZECINIE","32","62","011","0977976","12740","39","","Szczecin","ul. Adama Mickiewicza"
"81014615900000","8531374393","POWIATOWY URZĄD PRACY","32","12","054","0979515","04434","23","","Pyrzyce","ul. Dworcowa"
"81014619400000","8581375207","POWIATOWY URZĄD PRACY W GRYFINIE","32","06","044","0979076","20716","1","","Gryfino","ul. Sprzymierzonych"
"81014619400020","8581375207","POWIATOWY URZĄD PRACY W GRYFINIE FILIA W CHOJNIE","32","06","034","0978786","04434","3","","Chojna","ul. Dworcowa"
"81193628300000","8512627137","POWIATOWY URZĄD PRACY W POLICACH","32","11","044","0979449","09582","5","","Police","ul. Tadeusza Kościuszki"
"81193636600000","9860024252","POWIATOWY URZĄD PRACY","32","07","034","0979113","22880","5","","Kamień Pomorski","ul. Topolowa"
"81193749500000","8571042823","POWIATOWY URZĄD PRACY W GRYFICACH","32","05","024","0979053","09512","4","","Gryfice","ul. Koszarowa"
"81193752600000","8551024331","POWIATOWY URZĄD PRACY","32","63","011","0979722","24628","1/2A","","Świnoujście","ul. Wojska Polskiego"
"81242712900000","2530104317","POWIATOWY URZĄD PRACY W ŁOBZIE","32","18","024","0979136","14203","13","","Łobez","ul. Niepodległości"
"83046193900000","8141268571","POWIATOWY URZĄD PRACY","18","06","024","0974392","16264","59 A","","Kolbuszowa","ul. Józefa Piłsudskiego"
"83046219800000","8671028490","POWIATOWY URZĄD PRACY W TARNOBRZEGU","18","64","011","0980085","11926","3","","Tarnobrzeg","ul. 1 Maja"
"83046248800000","8651119189","POWIATOWY URZĄD PRACY","18","12","054","0980530","19491","6A","","Nisko","ul. Sandomierska"
"83046302200000","8651530619","POWIATOWY URZĄD PRACY W STALOWEJ WOLI","18","18","011","0981133","03868","8","","Stalowa Wola","ul. Romana Dmowskiego"
"83046686500000","8171033080","POWIATOWY URZĄD PRACY W MIELCU","18","11","011","0974618","02844","16A","","Mielec","ul. Chopina"
"85005235500000","8731372329","WOJEWÓDZKI URZĄD PRACY W KRAKOWIE FILIA W TARNOWIE","12","63","011","0981570","22135","66","","Tarnów","ul. Józefa Szujskiego"
"85176311800000","8731018409","POWIATOWY URZĄD PRACY W TARNOWIE","12","63","011","0981570","45076","3","","Tarnów","pl. Generała Józefa Bema"
"85176962900000","8681604009","POWIATOWY URZĄD PRACY","12","01","011","0981682","24628","3","","Bochnia","ul. Wojska Polskiego"
"85177323000000","8691220919","POWIATOWY URZĄD PRACY W BRZESKU","12","02","024","0981966","36029","19","","Brzesko","ul. Marszałka Józefa Piłsudskiego"
"85180156300000","8711220237","POWIATOWY URZĄD PRACY W DĄBROWIE TARNOWSKIEJ","12","04","024","0982167","36029","33","","Dąbrowa Tarnowska","ul. Marszałka Józefa Piłsudskiego"
"87121224200000","8781547972","POWIATOWY URZĄD PRACY W GOLUBIU-DOBRZYNIU","04","05","011","0983155","44153","26","","Golub-Dobrzyń","ul. Szosa Rypińska"
"87121448800000","8781609963","POWIATOWY URZĄD PRACY W WĄBRZEŹNIE","04","17","011","0983652","24687","44","","Wąbrzeźno","ul. Wolności"
"87121838000000","8761017917","POWIATOWY URZĄD PRACY W GRUDZIĄDZU","04","62","011","0983333","15710","22","","Grudziądz","ul. Parkowa"
"87122092200000","8751065412","POWIATOWY URZĄD PRACY","04","04","011","0983066","22550","1","","Chełmno","ul. Świętojerska"
"87123456800000","8792199138","POWIATOWY URZĄD PRACY DLA MIASTA TORUNIA","04","63","011","0982724","12540","49A","","Toruń","ul. Mazowiecka"
"87123634300000","8792201852","POWIATOWY URZĄD PRACY DLA POWIATU TORUŃSKIEGO","04","63","011","0982724","17011","115,115A","","Toruń","ul. Polna"
"87123989600000","8741289156","POWIATOWY URZĄD PRACY","04","02","011","0982954","26608","3","","Brodnica","ul. Żwirki i Wigury"
"87124606300000","9562020455","WOJEWÓDZKI URZĄD PRACY W TORUNIU","04","63","011","0982724","48367","30/32","","Toruń","ul. Szosa Chełmińska"
"89107471200000","8821476156","POWIATOWY URZĄD PRACY W DZIERŻONIOWIE","02","02","021","0983988","19253","27","","Dzierżoniów","ul. Rynek"
"89107483000000","8862507882","POWIATOWY URZĄD PRACY W WAŁBRZYCHU","02","65","011","0983681","14834","5 B","","Wałbrzych","ul. Ogrodowa"
"89107615400000","8871324112","POWIATOWY URZĄD PRACY W ZĄBKOWICACH ŚLĄSKICH","02","24","054","0984692","17372","7","","Ząbkowice Śląskie","ul. Powstańców Warszawy"
"89107652700000","8841294659","POWIATOWY URZĄD PRACY W ŚWIDNICY","02","19","011","0984657","20068","5","","Świdnica","ul. Marii Skłodowskiej-Curie"
"89112912300000","8831012168","POWIATOWY URZĄD PRACY W KŁODZKU","02","08","021","0984077","25084","2J","","Kłodzko","ul. Stanisława Wyspiańskiego"
"89112930100000","8862566413","DOLNOŚLĄSKI WOJEWÓDZKI URZĄD PRACY","02","65","011","0983681","14834","5B","","Wałbrzych","ul. Ogrodowa"
"89112930100022","8862566413","DOLNOŚLĄSKI WOJEWÓDZKI URZĄD PRACY FILIA WE WROCŁAWIU","02","64","029","0986290","10559","4","","Wrocław","ul. Eugeniusza Kwiatkowskiego"
"89112930100030","8862566413","DOLNOŚLĄSKI WOJEWÓDZKI URZĄD PRACY FILIA W LEGNICY","02","62","011","0954047","24685","4","","Legnica","pl. Wolności"
"89112930100047","8862566413","DOLNOŚLĄSKI WOJEWÓDZKI URZĄD PRACY FILIA W JELENIEJ GÓRZE","02","61","011","0935802","11926","27","","Jelenia Góra","ul. 1 Maja"
"91093310900000","8881540099","POWIATOWY URZĄD PRACY WE WŁOCŁAWKU","04","64","011","0984752","07983","24","","Włocławek","ul. Kapitulna"
"91093311500000","8911169713","POWIATOWY URZĄD PRACY","04","01","011","0985384","17742","1","","Aleksandrów Kujawski","ul. Przemysłowa"
"91093331600000","8891248443","POWIATOWY URZĄD PRACY","04","11","011","0986060","09572","20/22","","Radziejów","ul. Kościuszki"
"91093352300000","8931291558","POWIATOWY URZĄD PRACY W LIPNIE","04","08","011","0985830","14914","7B","","Lipno","ul. Stefana Okrzei"
"91093385900000","8921160599","POWIATOWY URZĄD PRACY W RYPINIE","04","12","011","0986136","14532","14","","Rypin","ul. Nowy Rynek"
"93210456000000","9131149233","POWIATOWY URZĄD PRACY W ŚRODZIE ŚLĄSKIEJ","02","18","044","0987348","24806","4","","Środa Śląska","ul. Wrocławska"
"93210482100000","9151566514","POWIATOWY URZĄD PRACY W TRZEBNICY","02","20","034","0987383","09582","10","","Trzebnica","ul. Tadeusza Kościuszki"
"93210665900000","9111740383","POWIATOWY URZĄD PRACY W OLEŚNICY","02","14","011","0987213","24628","13","","Oleśnica","ul. Wojska Polskiego"
"93210950500000","9161285395","POWIATOWY URZĄD PRACY W MILICZU","02","13","034","0987130","24628","40","","Milicz","ul. Wojska Polskiego"
"93211057200000","9880001544","POWIATOWY URZĄD PRACY W WOŁOWIE","02","22","034","0987466","48601","2","","Wołów","Plac Piastowski"
"93211137600000","6991448241","POWIATOWY URZĄD PRACY W GÓRZE","02","04","014","0954449","17394","4","","Góra","ul. Poznańska"
"93211248200000","8961000873","POWIATOWY URZĄD PRACY WE WROCŁAWIU","02","64","039","0986544","05559","20-22","","Wrocław","ul. Gliniana"
"93212522000000","9141037754","POWIATOWY URZĄD PRACY W STRZELINIE","02","17","044","0987331","07879","10","","Strzelin","ul. Kamienna"
"93213238400000","9121044248","POWIATOWY URZĄD PRACY","02","15","011","0987259","11937","1","","Oława","ul. 3 Maja"
"95003168600000","9221069526","POWIATOWY URZĄD PRACY W ZAMOŚCIU","06","64","011","0987510","16414","1","","Zamość","Plac Wolności"
"95003169200000","9181028081","POWIATOWY URZĄD PRACY W BIŁGORAJU","06","02","011","0987673","01651","38","","Biłgoraj","ul. Bohaterów Monte Cassino"
"95003170000000","9191250711","POWIATOWY URZĄD PRACY W HRUBIESZOWIE","06","04","011","0987800","10894","11","","Hrubieszów","ul. Leśmiana"
"95003171700000","9211370514","POWIATOWY URZĄD PRACY W TOMASZOWIE LUB.","06","18","011","0988075","11467","35","","Tomaszów Lubelski","ul. Lwowska"
"97013998800000","9730045994","WOJEWÓDZKI URZĄD PRACY W ZIELONEJ GÓRZE","08","62","011","0988313","25084","15","","Zielona Góra","ul. Stanisława Wyspiańskiego"
"97013998800028","9730045994","WOJEWÓDZKI URZĄD PRACY W ZIELONEJ GÓRZE ODDZIAŁ ZAMIEJSCOWY GORZÓW WLKP.","08","61","011","0935140","09043","34","801","Gorzów Wielkopolski","ul. Kombatantów"
"97014026000000","9730077942","POWIATOWY URZĄD PRACY W ZIELONEJ GÓRZE","08","62","011","0988313","00891","126A","","Zielona Góra","ul. Stefana Batorego"
"97125219000000","9241637726","POWIATOWY URZĄD PRACY W ŻAGANIU","08","10","021","0988661","04434","9","","Żagań","ul. Dworcowa"
"97125239100000","9281742501","POWIATOWY URZĄD PRACY W ŻARACH","08","11","021","0988684","12832","15","","Żary","ul. Mieszka I"
"97125381200000","9271014332","POWIATOWY URZĄD PRACY","08","08","054","0988626","21410","8","","Świebodzin","ul. Studencka"
"97125427200000","9261512086","POWIATOWY URZĄD PRACY W KROŚNIE ODRZAŃSKIM","08","02","064","0988460","16057","10B","","Krosno Odrzańskie","ul. Piastów"
"97125663800000","9251805817","POWIATOWY URZĄD PRACY W NOWEJ SOLI","08","04","011","0988520","21065","1C","","Nowa Sól","ul. Staszica"
"97794812000000","9251890651","POWIATOWY URZĄD PRACY WE WSCHOWIE","08","12","034","0954685","20947","13,13A","","Wschowa","ul. Staroleszczyńska"
